id,topic1_id,topic1_prob,topic2_id,topic2_prob,topic3_id,topic4_prob
127,4,0.34548377990722656,5.0,0.18988676369190216,7.0,0.1471438854932785
128,5,0.40928342938423157,4.0,0.37958720326423645,7.0,0.20611459016799927
130,4,0.7911780476570129,7.0,0.15142668783664703,9.0,0.01730836182832718
131,4,0.6929253339767456,7.0,0.1584191471338272,5.0,0.0757918506860733
135,7,0.386276513338089,4.0,0.31938818097114563,5.0,0.2457445114850998
136,4,0.5422512888908386,5.0,0.18401193618774414,8.0,0.14760804176330566
137,5,0.3871442675590515,7.0,0.3199159801006317,4.0,0.2873819172382355
138,4,0.5991545915603638,7.0,0.2118634730577469,5.0,0.14007964730262756
139,7,0.39450180530548096,4.0,0.3939143121242523,5.0,0.19398446381092072
140,5,0.6622164845466614,4.0,0.16725987195968628,7.0,0.09120636433362961
141,4,0.6697078943252563,7.0,0.13968412578105927,5.0,0.10721631348133087
142,5,0.4377726912498474,4.0,0.3453145921230316,7.0,0.18773230910301208
143,5,0.5219734311103821,4.0,0.2735574245452881,7.0,0.18515624105930328
144,4,0.5172641277313232,1.0,0.18186959624290466,7.0,0.158184215426445
145,4,0.7352842092514038,5.0,0.17417772114276886,7.0,0.07064490765333176
146,4,0.5790773630142212,7.0,0.29833298921585083,5.0,0.07531994581222534
147,5,0.3626701831817627,4.0,0.2759779691696167,7.0,0.2701648771762848
148,5,0.40998053550720215,4.0,0.3209821879863739,7.0,0.19253158569335938
151,6,0.8233304619789124,4.0,0.167042076587677,,
152,5,0.4974583387374878,4.0,0.36920610070228577,7.0,0.11359204351902008
153,4,0.536526620388031,7.0,0.18658144772052765,5.0,0.1600262075662613
154,4,0.5464229583740234,7.0,0.16277702152729034,5.0,0.15345442295074463
155,4,0.46343204379081726,7.0,0.32026317715644836,5.0,0.11687692999839783
156,4,0.614229142665863,5.0,0.23919202387332916,0.0,0.049943555146455765
157,4,0.7136768102645874,7.0,0.15168017148971558,6.0,0.08196575939655304
159,4,0.6771331429481506,7.0,0.17999285459518433,1.0,0.07187428325414658
160,4,0.5911331176757812,7.0,0.2701131999492645,5.0,0.07772848010063171
161,4,0.6241316199302673,5.0,0.29462701082229614,7.0,0.055379487574100494
162,4,0.4513819217681885,5.0,0.3411844074726105,7.0,0.14888212084770203
163,5,0.46287769079208374,4.0,0.4019947648048401,7.0,0.03907034546136856
164,5,0.6492109298706055,4.0,0.1758871078491211,7.0,0.16292163729667664
165,4,0.5016467571258545,5.0,0.17292001843452454,7.0,0.15438352525234222
167,4,0.502619743347168,7.0,0.2434530407190323,5.0,0.2174413651227951
168,6,0.9063652157783508,0.0,0.06019313260912895,2.0,0.01910894550383091
169,4,0.3818149268627167,5.0,0.280601441860199,7.0,0.27490586042404175
170,4,0.7329574823379517,5.0,0.10285010933876038,7.0,0.09676966816186905
171,4,0.5320356488227844,7.0,0.2840493619441986,5.0,0.1591842621564865
173,6,0.7935144305229187,5.0,0.07775561511516571,3.0,0.062837615609169
174,5,0.5216847658157349,4.0,0.34233665466308594,7.0,0.0729670450091362
176,4,0.5133804082870483,7.0,0.2869490385055542,5.0,0.14500874280929565
177,4,0.6344223022460938,2.0,0.13749343156814575,5.0,0.13531649112701416
