id,topic1_id,topic1_prob,topic2_id,topic2_prob,topic3_id,topic4_prob
143,5,0.3956470489501953,1,0.33036649227142334,7,0.19104844331741333
144,7,0.33776935935020447,1,0.30961474776268005,9,0.1538720428943634
145,7,0.48049792647361755,10,0.1743599772453308,5,0.15487118065357208
146,1,0.49046212434768677,7,0.39490699768066406,8,0.05342375859618187
147,1,0.5292331576347351,5,0.2413356602191925,8,0.0887444019317627
148,8,0.4070071876049042,7,0.2889406979084015,1,0.28493884205818176
151,4,0.8112865686416626,7,0.11124376952648163,8,0.060427628457546234
152,5,0.3339804410934448,7,0.3042093515396118,1,0.19392989575862885
153,1,0.4378071129322052,7,0.35239967703819275,5,0.08031546324491501
154,7,0.3725809156894684,1,0.3097885549068451,9,0.10242236405611038
155,1,0.5673080682754517,7,0.2810833752155304,8,0.1340177059173584
156,7,0.3137461543083191,5,0.21805207431316376,10,0.20788566768169403
157,7,0.45938628911972046,1,0.33768078684806824,6,0.0971183031797409
159,7,0.5941224694252014,1,0.23778803646564484,5,0.10446714609861374
160,1,0.541246235370636,7,0.33079659938812256,5,0.0653308779001236
161,7,0.4486501216888428,5,0.257416695356369,1,0.11205961555242538
162,8,0.3849456310272217,7,0.25602051615715027,5,0.19269070029258728
163,7,0.26803556084632874,5,0.2666471302509308,8,0.12410182505846024
164,5,0.5357968211174011,1,0.2934022843837738,8,0.09412401914596558
165,7,0.381146103143692,1,0.26177486777305603,5,0.16044826805591583
167,1,0.40255483984947205,7,0.3373250365257263,8,0.22875842452049255
168,4,0.8942959308624268,6,0.07353517413139343,0,
169,1,0.3701067268848419,7,0.3246992528438568,8,0.22278901934623718
170,7,0.5600947141647339,1,0.2719648480415344,5,0.12328298389911652
171,1,0.4401377737522125,7,0.32730811834335327,8,0.11652926355600357
173,4,0.7294368743896484,2,0.08730028569698334,8,0.08712786436080933
174,5,0.3350757956504822,1,0.23617027699947357,8,0.1462186872959137
176,1,0.5233207941055298,7,0.2807709872722626,8,0.10548460483551025
177,7,0.4028148949146271,10,0.2507839500904083,4,0.12077653408050537
178,1,0.385990172624588,7,0.34568044543266296,9,0.09926292300224304
179,5,0.771199107170105,8,0.11623271554708481,7,0.04194898530840874
180,4,0.7955902218818665,7,0.07628767937421799,5,0.04815974459052086
181,1,0.5856423377990723,7,0.25036996603012085,8,0.06621687859296799
182,1,0.6594812870025635,7,0.295073539018631,8,0.017086729407310486
183,7,0.48855775594711304,10,0.252654105424881,1,0.10630377382040024
184,1,0.4347987473011017,7,0.34714457392692566,5,0.11819978058338165
185,7,0.5101773142814636,5,0.16219133138656616,1,0.15490779280662537
186,10,0.3063320517539978,7,0.24435171484947205,1,0.2099141776561737
192,4,0.9013152718544006,8,0.04623015597462654,9,0.020932745188474655
193,7,0.35828492045402527,4,0.25922223925590515,1,0.1657809019088745
194,1,0.5113864541053772,7,0.29191312193870544,8,0.07301776856184006
195,7,0.38575103878974915,10,0.24416197836399078,1,0.21739523112773895
198,4,0.7930097579956055,1,0.05236707627773285,5,0.04113980010151863
199,8,0.35456427931785583,7,0.22489963471889496,10,0.17585912346839905
201,7,0.33051592111587524,8,0.2800346910953522,1,0.15924236178398132
202,1,0.41565123200416565,5,0.23021118342876434,7,0.17271271347999573
203,1,0.44629210233688354,8,0.31988462805747986,5,0.13678650557994843
205,7,0.4590020775794983,1,0.37081536650657654,8,0.06388954073190689
206,7,0.45015373826026917,1,0.4049263298511505,5,0.10869345813989639
209,1,0.3232761323451996,8,0.27789413928985596,7,0.2507466971874237
210,1,0.34451770782470703,8,0.21941617131233215,7,0.17519497871398926
211,8,0.38487446308135986,10,0.21290013194084167,7,0.15797896683216095
212,7,0.4629225730895996,1,0.24967850744724274,10,0.1928214430809021
