category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Operation/Personnel Violations,1,0,3,1
Operation/Personnel Violations,1,0,2,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,1,0,1,2
Use Of Force,2,0,1,2
Operation/Personnel Violations,0,0,0,2
Lockup Procedures,1,0,1,0
Illegal Search,2,0,1,0
Illegal Search,1,0,6,4
Illegal Search,1,0,2,3
Verbal Abuse,1,0,2,1
Illegal Search,1,0,5,10
Use Of Force,1,2,3,0
Illegal Search,1,0,2,0
Lockup Procedures,1,0,0,0
Lockup Procedures,1,0,2,0
Use Of Force,1,0,1,0
Illegal Search,0,0,1,0
Illegal Search,0,0,0,1
Illegal Search,0,0,0,0
Use Of Force,1,0,0,0
Use Of Force,1,0,0,0
Traffic,2,0,2,0
Use Of Force,1,0,2,1
Use Of Force,1,0,0,0
Use Of Force,1,0,2,0
Operation/Personnel Violations,1,1,3,0
Illegal Search,0,0,0,0
Operation/Personnel Violations,1,1,2,3
Verbal Abuse,2,0,2,0
Illegal Search,0,0,0,0
Illegal Search,1,0,0,1
Operation/Personnel Violations,2,0,1,2
Operation/Personnel Violations,0,0,1,0
Use Of Force,0,0,0,0
Illegal Search,1,0,0,5
Illegal Search,1,0,2,1
Operation/Personnel Violations,2,0,1,1
Operation/Personnel Violations,1,0,2,1
Operation/Personnel Violations,1,1,1,3
Operation/Personnel Violations,1,0,2,1
Operation/Personnel Violations,2,0,2,5
Operation/Personnel Violations,2,0,0,0
Use Of Force,1,0,2,3
Use Of Force,1,0,0,1
Use Of Force,2,1,7,2
Use Of Force,1,0,1,2
Use Of Force,1,0,1,1
Illegal Search,1,0,7,4
Operation/Personnel Violations,1,0,5,0
Use Of Force,1,0,1,1
Illegal Search,1,0,2,1
Operation/Personnel Violations,1,0,3,4
Illegal Search,1,0,3,0
Illegal Search,2,0,1,0
Operation/Personnel Violations,1,0,1,2
Operation/Personnel Violations,1,0,0,2
Operation/Personnel Violations,0,0,0,3
Use Of Force,1,0,1,3
Illegal Search,2,2,5,1
Use Of Force,1,0,1,7
Lockup Procedures,1,0,0,2
Lockup Procedures,1,0,0,1
Operation/Personnel Violations,2,2,4,2
Verbal Abuse,0,0,0,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,3,0
Operation/Personnel Violations,1,0,0,2
Operation/Personnel Violations,0,0,0,4
Verbal Abuse,1,0,0,0
Operation/Personnel Violations,0,0,1,3
Operation/Personnel Violations,1,0,2,12
Operation/Personnel Violations,2,0,8,0
Operation/Personnel Violations,2,0,3,4
Traffic,1,0,2,0
Operation/Personnel Violations,1,0,1,0
Use Of Force,1,0,2,2
Domestic,1,0,3,1
Operation/Personnel Violations,1,0,4,3
Operation/Personnel Violations,2,0,8,1
Use Of Force,1,1,1,0
Use Of Force,1,1,5,4
Operation/Personnel Violations,2,0,4,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,0,0,0,1
Illegal Search,2,1,1,3
Verbal Abuse,2,0,3,0
Operation/Personnel Violations,2,0,4,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,1,0
Domestic,2,1,2,1
Use Of Force,1,0,2,4
Domestic,0,0,0,0
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,1,0,3,1
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,2,0,5,0
Illegal Search,2,0,3,5
Use Of Force,1,0,0,0
Verbal Abuse,2,0,0,0
Verbal Abuse,1,0,3,0
Traffic,1,0,0,0
Illegal Search,1,0,1,1
Operation/Personnel Violations,2,1,9,0
Lockup Procedures,1,0,4,0
Verbal Abuse,2,0,6,1
Operation/Personnel Violations,1,0,0,2
Use Of Force,2,0,2,0
Use Of Force,0,0,0,0
Operation/Personnel Violations,1,0,1,7
Illegal Search,1,0,4,6
Operation/Personnel Violations,1,1,5,3
Operation/Personnel Violations,1,0,0,0
Use Of Force,2,0,2,0
Operation/Personnel Violations,1,0,2,0
Operation/Personnel Violations,2,0,3,3
Operation/Personnel Violations,1,0,1,4
Verbal Abuse,1,0,5,1
Lockup Procedures,0,0,0,0
Illegal Search,1,0,3,0
Verbal Abuse,1,0,2,2
Illegal Search,2,0,3,0
Domestic,0,0,0,0
Verbal Abuse,2,0,3,0
Operation/Personnel Violations,0,0,0,0
Domestic,1,0,3,0
Operation/Personnel Violations,2,0,2,0
Illegal Search,1,0,1,1
Domestic,1,0,3,0
Operation/Personnel Violations,1,0,2,0
Operation/Personnel Violations,1,0,0,0
Traffic,1,0,3,0
Domestic,1,0,1,0
