category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,8,3,18,2
Use Of Force,3,0,1,0
Use Of Force,0,0,1,7
Domestic,1,0,3,0
Domestic,0,0,0,0
Illegal Search,6,1,6,4
Use Of Force,2,0,4,0
Use Of Force,1,0,2,1
Illegal Search,7,1,5,0
Operation/Personnel Violations,6,0,9,0
Operation/Personnel Violations,6,0,5,0
Operation/Personnel Violations,7,0,17,0
Operation/Personnel Violations,3,0,0,0
Illegal Search,6,4,13,3
Illegal Search,1,0,0,0
Illegal Search,0,0,0,2
Lockup Procedures,5,0,12,0
Lockup Procedures,5,0,10,1
Lockup Procedures,5,0,6,1
Lockup Procedures,4,0,2,0
Lockup Procedures,2,0,0,0
Lockup Procedures,2,0,0,0
Lockup Procedures,2,0,0,0
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,2,1,9,0
Operation/Personnel Violations,1,0,0,0
Domestic,5,5,8,3
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,0,0,0,1
Lockup Procedures,7,0,11,0
Lockup Procedures,4,0,4,2
Lockup Procedures,4,0,1,1
Illegal Search,3,0,6,1
Operation/Personnel Violations,2,3,4,1
Operation/Personnel Violations,2,4,10,4
Lockup Procedures,8,1,12,0
Conduct Unbecoming (Off-Duty),7,0,1,0
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,2,1,1,1
Domestic,2,0,1,0
Illegal Search,3,1,6,3
Operation/Personnel Violations,6,1,2,1
Operation/Personnel Violations,7,2,5,1
Operation/Personnel Violations,6,0,15,0
Operation/Personnel Violations,2,0,3,0
Illegal Search,4,0,9,1
Illegal Search,3,0,12,2
Operation/Personnel Violations,4,2,3,2
Operation/Personnel Violations,2,1,1,1
Illegal Search,8,2,7,1
Illegal Search,2,1,2,0
Illegal Search,2,0,0,0
Verbal Abuse,2,0,2,0
Verbal Abuse,1,0,0,0
Lockup Procedures,6,0,10,1
Lockup Procedures,7,2,7,0
Operation/Personnel Violations,6,0,13,0
Use Of Force,1,0,10,2
Operation/Personnel Violations,0,0,1,0
Use Of Force,1,0,0,0
Illegal Search,7,0,30,2
Use Of Force,5,0,1,0
Use Of Force,7,1,13,2
Operation/Personnel Violations,5,0,1,1
Operation/Personnel Violations,4,0,3,0
Operation/Personnel Violations,1,0,1,0
Illegal Search,8,2,16,0
Operation/Personnel Violations,4,0,2,0
Operation/Personnel Violations,1,0,0,0
Use Of Force,4,1,3,2
Use Of Force,2,1,4,8
Illegal Search,6,0,0,0
Operation/Personnel Violations,6,0,3,2
Operation/Personnel Violations,7,1,3,0
Operation/Personnel Violations,7,2,15,0
Domestic,2,0,1,0
Domestic,1,0,1,0
Operation/Personnel Violations,2,1,5,0
Use Of Force,6,3,6,0
Use Of Force,4,1,8,3
Operation/Personnel Violations,4,0,2,0
Operation/Personnel Violations,1,0,1,0
Use Of Force,5,0,1,0
Operation/Personnel Violations,6,1,4,1
Illegal Search,7,0,14,0
Operation/Personnel Violations,7,0,18,2
Operation/Personnel Violations,7,4,7,0
Operation/Personnel Violations,2,2,5,1
Operation/Personnel Violations,1,0,3,6
Operation/Personnel Violations,1,0,0,0
Traffic,2,0,2,0
Use Of Force,6,0,7,0
Illegal Search,1,0,1,0
Illegal Search,7,2,13,6
Illegal Search,7,2,17,5
Illegal Search,3,1,1,1
Illegal Search,6,2,4,0
Illegal Search,5,0,2,0
Use Of Force,5,0,8,0
Use Of Force,4,0,4,0
Operation/Personnel Violations,5,0,3,1
Lockup Procedures,6,1,9,0
Lockup Procedures,6,1,8,0
Operation/Personnel Violations,8,2,9,1
Operation/Personnel Violations,4,1,5,2
Illegal Search,3,0,0,0
Traffic,3,0,2,0
Operation/Personnel Violations,2,0,1,1
Operation/Personnel Violations,2,0,0,2
Operation/Personnel Violations,2,0,0,1
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,7,1,4,1
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,5,1,5,3
Operation/Personnel Violations,0,0,0,0
Lockup Procedures,7,0,16,0
Lockup Procedures,3,0,4,1
Illegal Search,2,1,3,2
Conduct Unbecoming (Off-Duty),7,0,31,0
Conduct Unbecoming (Off-Duty),3,0,8,0
Operation/Personnel Violations,2,0,1,0
Criminal Misconduct,6,0,11,0
Criminal Misconduct,5,0,6,0
Criminal Misconduct,5,0,13,0
Criminal Misconduct,4,0,4,0
Criminal Misconduct,4,0,6,0
Criminal Misconduct,4,0,5,0
Criminal Misconduct,3,0,5,0
Criminal Misconduct,2,0,2,0
Lockup Procedures,8,0,11,1
Lockup Procedures,8,0,6,0
Illegal Search,1,0,1,0
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,1,1,1,1
Illegal Search,1,0,0,0
Operation/Personnel Violations,4,1,13,0
Operation/Personnel Violations,1,0,0,0
Verbal Abuse,2,0,2,0
Conduct Unbecoming (Off-Duty),5,0,13,1
Use Of Force,8,0,3,0
Illegal Search,6,0,14,3
Illegal Search,2,0,7,0
Use Of Force,6,4,9,2
Illegal Search,8,0,4,2
Illegal Search,6,0,4,0
Illegal Search,8,1,9,1
Illegal Search,5,0,9,0
Verbal Abuse,4,0,4,0
Operation/Personnel Violations,2,0,1,5
Operation/Personnel Violations,2,1,4,2
Operation/Personnel Violations,5,2,12,0
Operation/Personnel Violations,5,1,16,0
Operation/Personnel Violations,1,0,2,2
Use Of Force,2,0,0,3
Use Of Force,1,0,2,2
Domestic,4,1,2,0
Operation/Personnel Violations,3,0,0,1
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,6,2,18,2
Operation/Personnel Violations,5,3,13,0
Operation/Personnel Violations,5,2,17,0
Use Of Force,5,0,7,0
Illegal Search,6,0,5,0
Illegal Search,8,2,8,0
Illegal Search,4,0,5,2
False Arrest,7,1,32,1
False Arrest,3,1,9,1
Lockup Procedures,3,0,2,0
Operation/Personnel Violations,7,4,21,4
Operation/Personnel Violations,1,0,1,4
Illegal Search,4,1,11,0
Illegal Search,2,0,3,5
Use Of Force,4,1,6,4
Use Of Force,3,0,2,2
Use Of Force,1,0,1,1
Use Of Force,2,3,8,1
Use Of Force,1,1,4,3
Use Of Force,7,0,16,0
False Arrest,5,0,2,0
False Arrest,5,1,10,0
False Arrest,2,0,3,0
Operation/Personnel Violations,5,0,2,0
Operation/Personnel Violations,5,0,3,0
Operation/Personnel Violations,2,0,9,0
Illegal Search,4,0,12,1
Illegal Search,3,1,7,1
Operation/Personnel Violations,4,0,2,0
Operation/Personnel Violations,4,1,5,0
Operation/Personnel Violations,2,0,3,1
Operation/Personnel Violations,3,1,2,0
Operation/Personnel Violations,5,0,2,0
Illegal Search,6,0,6,0
Operation/Personnel Violations,0,0,0,0
Illegal Search,4,0,7,0
Illegal Search,2,0,0,1
Illegal Search,2,0,1,1
Domestic,6,1,21,1
Use Of Force,3,2,2,7
Use Of Force,2,0,4,0
Use Of Force,4,1,2,0
Use Of Force,5,1,7,1
Use Of Force,2,0,1,0
Lockup Procedures,2,1,3,0
Illegal Search,2,0,0,3
Illegal Search,7,3,8,1
Illegal Search,7,3,13,1
False Arrest,2,0,4,1
Use Of Force,5,3,15,4
Use Of Force,2,1,1,1
Operation/Personnel Violations,6,0,2,3
Traffic,0,0,0,0
Bribery / Official Corruption,7,0,1,0
Illegal Search,4,0,5,2
Illegal Search,2,0,3,1
Operation/Personnel Violations,7,3,15,1
Operation/Personnel Violations,7,1,10,3
Operation/Personnel Violations,2,2,6,0
Traffic,7,0,4,0
Traffic,4,0,2,0
Operation/Personnel Violations,7,5,16,2
Operation/Personnel Violations,6,0,2,2
Operation/Personnel Violations,7,2,7,5
Operation/Personnel Violations,7,1,10,6
Illegal Search,5,1,5,1
Illegal Search,6,5,21,3
Operation/Personnel Violations,7,1,2,0
Operation/Personnel Violations,2,1,2,0
Use Of Force,2,0,19,0
Use Of Force,3,0,12,0
Use Of Force,5,0,4,0
Use Of Force,6,0,12,0
Use Of Force,3,0,3,1
Verbal Abuse,2,0,4,0
Use Of Force,2,0,0,0
Operation/Personnel Violations,2,1,2,2
Illegal Search,6,0,2,3
Illegal Search,2,0,1,0
Operation/Personnel Violations,2,1,5,0
Operation/Personnel Violations,2,0,3,0
Operation/Personnel Violations,1,1,3,0
Traffic,4,0,3,0
Operation/Personnel Violations,8,0,19,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,6,1,10,0
Use Of Force,1,0,0,0
Operation/Personnel Violations,7,0,17,0
Lockup Procedures,4,0,1,1
Lockup Procedures,0,0,1,0
Operation/Personnel Violations,7,1,14,0
Operation/Personnel Violations,1,1,3,0
Operation/Personnel Violations,2,0,4,0
Operation/Personnel Violations,7,2,29,0
Operation/Personnel Violations,5,0,10,0
Operation/Personnel Violations,2,1,9,3
Operation/Personnel Violations,1,0,3,1
Use Of Force,2,1,5,2
Illegal Search,7,0,3,0
Illegal Search,6,2,6,2
Illegal Search,7,1,2,2
Illegal Search,5,0,4,0
Illegal Search,2,1,1,2
Illegal Search,1,0,1,2
Criminal Misconduct,3,0,6,0
False Arrest,5,1,7,1
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,6,2,3,2
Use Of Force,2,1,2,0
Use Of Force,2,0,5,1
Illegal Search,6,1,3,1
Illegal Search,4,0,1,0
Operation/Personnel Violations,5,2,10,0
Operation/Personnel Violations,3,0,1,0
Operation/Personnel Violations,2,0,1,2
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,1,1,3,1
Criminal Misconduct,5,0,17,0
Operation/Personnel Violations,2,0,2,0
Use Of Force,2,0,2,1
Use Of Force,2,0,0,0
Use Of Force,6,0,18,0
Use Of Force,3,1,4,1
Use Of Force,2,1,2,0
Use Of Force,3,0,3,1
Use Of Force,1,0,2,2
Use Of Force,5,0,15,1
Verbal Abuse,3,0,2,1
Operation/Personnel Violations,1,0,3,0
Use Of Force,3,0,3,0
Illegal Search,7,4,18,2
Illegal Search,7,0,10,0
False Arrest,2,0,4,0
Traffic,7,0,16,0
Operation/Personnel Violations,2,0,1,1
Operation/Personnel Violations,3,3,13,1
Operation/Personnel Violations,1,0,0,1
Illegal Search,1,0,9,1
Lockup Procedures,2,0,3,0
Lockup Procedures,2,0,3,1
Use Of Force,7,0,7,1
Use Of Force,2,0,6,1
Operation/Personnel Violations,7,0,6,1
Operation/Personnel Violations,6,1,1,1
Use Of Force,6,1,8,2
Use Of Force,7,0,8,1
Use Of Force,7,0,5,0
Use Of Force,2,0,6,4
Use Of Force,1,0,0,2
Use Of Force,7,0,2,1
Lockup Procedures,6,1,10,0
Lockup Procedures,7,2,18,0
Verbal Abuse,5,0,4,0
Use Of Force,2,0,2,2
Use Of Force,2,0,2,2
Illegal Search,2,0,0,0
Use Of Force,2,0,1,0
Lockup Procedures,0,0,0,0
Illegal Search,3,0,6,0
Operation/Personnel Violations,5,0,3,0
Operation/Personnel Violations,3,0,5,0
Use Of Force,7,4,12,0
Operation/Personnel Violations,7,2,18,0
Operation/Personnel Violations,7,0,5,0
Use Of Force,6,1,5,0
Use Of Force,4,1,6,1
Use Of Force,3,0,1,1
Domestic,7,0,5,0
Illegal Search,2,1,2,0
Use Of Force,7,0,2,0
Use Of Force,0,1,1,5
Operation/Personnel Violations,5,1,6,1
Operation/Personnel Violations,2,0,2,1
Operation/Personnel Violations,7,2,12,0
Conduct Unbecoming (Off-Duty),5,0,11,0
Use Of Force,5,0,10,1
Use Of Force,5,0,7,1
Operation/Personnel Violations,6,0,22,4
Operation/Personnel Violations,1,0,1,0
Domestic,3,0,2,0
Operation/Personnel Violations,7,1,14,0
Operation/Personnel Violations,7,2,7,0
Illegal Search,2,0,5,0
Illegal Search,1,0,2,0
Domestic,4,0,3,0
Use Of Force,6,0,10,0
Use Of Force,3,0,4,1
Use Of Force,2,1,5,0
Use Of Force,1,0,2,0
Lockup Procedures,3,0,3,0
Illegal Search,6,2,8,1
Operation/Personnel Violations,8,3,8,4
Operation/Personnel Violations,0,1,3,2
Traffic,3,0,3,0
Traffic,2,0,1,0
Operation/Personnel Violations,5,0,6,0
Use Of Force,5,0,6,0
Lockup Procedures,4,0,16,2
Operation/Personnel Violations,1,0,0,3
Use Of Force,4,0,11,2
Use Of Force,3,0,13,2
Use Of Force,7,0,10,1
Use Of Force,6,2,14,1
False Arrest,5,2,8,0
Lockup Procedures,6,1,9,1
Operation/Personnel Violations,2,0,2,7
Operation/Personnel Violations,2,0,2,4
Use Of Force,6,2,8,0
Operation/Personnel Violations,7,1,18,0
Operation/Personnel Violations,8,0,4,0
Operation/Personnel Violations,5,0,2,1
Operation/Personnel Violations,2,2,4,0
Operation/Personnel Violations,2,0,1,0
Illegal Search,2,0,0,1
Illegal Search,1,0,2,1
Illegal Search,1,0,0,0
Illegal Search,1,1,1,0
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,2,0,0,2
Verbal Abuse,6,0,4,0
Operation/Personnel Violations,3,0,2,0
Operation/Personnel Violations,3,0,1,1
Lockup Procedures,5,0,5,0
Lockup Procedures,4,0,5,0
Illegal Search,6,1,5,1
Illegal Search,6,2,8,0
Illegal Search,6,1,5,1
Illegal Search,3,0,5,0
Domestic,6,0,15,0
Illegal Search,8,1,8,0
Illegal Search,5,1,7,0
Illegal Search,3,3,10,1
Use Of Force,4,0,4,0
Operation/Personnel Violations,4,0,3,0
Traffic,1,0,0,0
Traffic,1,0,1,0
Operation/Personnel Violations,0,1,1,0
False Arrest,4,0,0,2
False Arrest,4,1,6,2
Lockup Procedures,5,1,13,0
Lockup Procedures,5,1,8,0
Lockup Procedures,5,0,5,0
Lockup Procedures,5,0,7,1
Use Of Force,2,3,4,1
Lockup Procedures,8,0,12,0
Operation/Personnel Violations,1,1,2,1
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,7,2,15,6
Operation/Personnel Violations,2,1,2,0
Operation/Personnel Violations,7,0,7,2
Use Of Force,2,0,2,0
Use Of Force,1,1,5,0
Use Of Force,3,0,3,0
Use Of Force,2,0,1,0
Operation/Personnel Violations,7,3,12,1
Use Of Force,7,1,6,0
Conduct Unbecoming (Off-Duty),0,0,1,0
Illegal Search,6,0,4,0
Verbal Abuse,1,0,2,0
Traffic,5,0,9,0
Illegal Search,4,1,17,3
Use Of Force,7,3,13,0
Use Of Force,3,0,1,0
Use Of Force,4,2,4,3
Use Of Force,4,0,0,0
Operation/Personnel Violations,3,1,7,1
Operation/Personnel Violations,3,0,5,2
Operation/Personnel Violations,1,1,2,0
Illegal Search,7,0,8,0
Illegal Search,3,0,3,1
Illegal Search,2,0,2,2
Illegal Search,2,0,1,0
Operation/Personnel Violations,2,0,7,0
Operation/Personnel Violations,2,0,1,0
Lockup Procedures,6,0,5,0
Lockup Procedures,6,0,4,1
Traffic,7,0,8,0
Traffic,7,0,8,0
Traffic,4,0,2,0
Traffic,3,0,1,0
Operation/Personnel Violations,3,0,1,1
Operation/Personnel Violations,1,0,0,1
Illegal Search,6,0,4,1
Operation/Personnel Violations,4,0,14,1
Domestic,1,0,0,1
Operation/Personnel Violations,4,0,5,2
Operation/Personnel Violations,1,1,2,0
Lockup Procedures,2,0,0,1
Operation/Personnel Violations,6,0,2,0
Operation/Personnel Violations,8,0,5,0
Use Of Force,2,0,0,0
Operation/Personnel Violations,4,1,5,0
Illegal Search,8,8,29,5
Illegal Search,8,6,27,5
Use Of Force,1,0,4,0
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,1,0,2,0
Use Of Force,2,0,2,0
Illegal Search,7,4,14,0
Lockup Procedures,0,0,0,0
Operation/Personnel Violations,5,0,5,2
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,7,0,8,0
Operation/Personnel Violations,8,3,11,1
Use Of Force,2,0,4,0
Operation/Personnel Violations,2,0,7,0
Use Of Force,7,0,9,0
Operation/Personnel Violations,7,0,3,0
Operation/Personnel Violations,6,3,9,1
Operation/Personnel Violations,7,5,7,1
Operation/Personnel Violations,1,0,1,2
Operation/Personnel Violations,5,1,4,0
Operation/Personnel Violations,1,0,0,0
Use Of Force,2,0,4,0
Operation/Personnel Violations,0,0,0,4
Use Of Force,8,0,7,1
Use Of Force,0,0,2,1
Use Of Force,5,0,16,1
Lockup Procedures,1,0,0,0
Lockup Procedures,1,0,2,0
Operation/Personnel Violations,2,1,3,2
Operation/Personnel Violations,1,1,1,0
Operation/Personnel Violations,5,0,16,0
Operation/Personnel Violations,3,0,3,1
Illegal Search,4,0,8,1
Operation/Personnel Violations,5,0,2,0
Lockup Procedures,2,0,11,8
Verbal Abuse,5,0,5,0
Lockup Procedures,4,0,12,0
Illegal Search,6,4,13,2
Illegal Search,3,0,1,1
Illegal Search,3,0,5,1
Verbal Abuse,6,0,4,0
Use Of Force,3,0,6,0
Use Of Force,1,0,2,0
Operation/Personnel Violations,2,2,12,2
Operation/Personnel Violations,1,1,2,1
Use Of Force,3,0,2,0
Use Of Force,4,2,13,1
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,7,5,12,2
Operation/Personnel Violations,6,3,22,0
Operation/Personnel Violations,5,1,12,0
Operation/Personnel Violations,2,0,1,2
Operation/Personnel Violations,2,1,2,1
Conduct Unbecoming (Off-Duty),1,0,2,0
Use Of Force,1,0,1,0
Traffic,5,0,2,0
Traffic,7,0,10,0
Traffic,2,0,2,0
Traffic,1,0,3,0
Illegal Search,8,0,4,0
Domestic,7,1,2,0
Supervisory Responsibilities,8,0,3,0
Domestic,8,1,10,0
Conduct Unbecoming (Off-Duty),7,0,4,0
Illegal Search,7,0,5,0
Illegal Search,5,2,8,0
Illegal Search,6,0,1,0
Illegal Search,7,0,6,0
Illegal Search,5,1,2,0
Illegal Search,3,0,2,3
Illegal Search,3,0,2,1
Illegal Search,2,1,5,0
Illegal Search,2,0,3,0
Operation/Personnel Violations,2,0,3,0
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,3,0,3,0
Operation/Personnel Violations,3,0,7,0
Operation/Personnel Violations,3,0,2,0
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,2,0,5,0
Operation/Personnel Violations,3,1,6,1
Operation/Personnel Violations,5,2,13,0
Operation/Personnel Violations,4,3,20,0
Operation/Personnel Violations,3,0,8,0
Operation/Personnel Violations,3,0,1,0
Operation/Personnel Violations,3,0,4,2
Operation/Personnel Violations,1,0,1,1
Use Of Force,5,0,3,0
Use Of Force,3,0,5,0
Operation/Personnel Violations,8,0,3,0
Illegal Search,7,0,19,0
Use Of Force,7,0,3,0
Operation/Personnel Violations,5,0,1,1
Operation/Personnel Violations,4,1,3,2
Operation/Personnel Violations,7,2,11,2
Use Of Force,6,3,14,3
Traffic,5,0,7,0
Illegal Search,4,1,4,1
Use Of Force,7,1,1,0
Use Of Force,1,0,1,3
Operation/Personnel Violations,6,0,9,1
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,5,1,8,1
Operation/Personnel Violations,4,1,8,1
Use Of Force,7,1,18,1
Illegal Search,8,0,5,2
Illegal Search,3,0,0,0
Use Of Force,6,3,18,4
Use Of Force,7,2,16,1
Operation/Personnel Violations,8,3,30,0
Operation/Personnel Violations,8,2,28,0
Operation/Personnel Violations,5,0,0,0
Operation/Personnel Violations,7,0,4,6
Traffic,8,0,7,0
Operation/Personnel Violations,1,0,1,0
Use Of Force,1,1,2,6
Domestic,5,0,9,1
Use Of Force,8,3,20,1
Operation/Personnel Violations,7,1,5,2
Domestic,7,0,7,2
Operation/Personnel Violations,2,0,1,1
Operation/Personnel Violations,1,0,1,0
Illegal Search,1,0,0,0
Use Of Force,7,3,16,2
Illegal Search,7,2,16,2
Illegal Search,5,0,14,1
Operation/Personnel Violations,3,2,3,3
Operation/Personnel Violations,1,0,3,0
Operation/Personnel Violations,4,0,3,0
Operation/Personnel Violations,7,1,4,0
Operation/Personnel Violations,4,1,2,0
Operation/Personnel Violations,8,3,13,5
Operation/Personnel Violations,5,0,3,0
Use Of Force,4,1,10,6
Verbal Abuse,4,0,1,0
Use Of Force,4,0,0,0
Operation/Personnel Violations,6,2,9,5
Operation/Personnel Violations,2,1,2,1
Operation/Personnel Violations,1,2,3,0
Use Of Force,5,1,7,3
Conduct Unbecoming (Off-Duty),2,0,0,0
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,2,0,0,0
Use Of Force,2,0,5,10
Drug / Alcohol Abuse,6,0,3,0
Operation/Personnel Violations,2,1,4,2
Operation/Personnel Violations,4,2,14,0
Use Of Force,0,0,3,0
Illegal Search,2,0,0,1
Operation/Personnel Violations,7,1,14,1
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,0,1,0
Verbal Abuse,5,0,5,1
Operation/Personnel Violations,3,2,4,1
Verbal Abuse,1,0,0,0
Verbal Abuse,1,0,2,0
Use Of Force,3,2,5,0
Use Of Force,7,0,1,0
Use Of Force,7,0,6,0
Operation/Personnel Violations,8,2,26,1
Operation/Personnel Violations,5,4,12,1
Illegal Search,4,0,14,4
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,1,0,0,1
Use Of Force,5,0,14,0
Use Of Force,4,0,21,1
Use Of Force,3,0,9,0
Operation/Personnel Violations,2,0,2,2
Operation/Personnel Violations,4,0,1,1
Illegal Search,8,1,6,1
Illegal Search,6,0,2,0
Operation/Personnel Violations,7,1,13,0
Operation/Personnel Violations,5,3,10,1
Operation/Personnel Violations,5,0,0,0
Use Of Force,8,2,26,2
Use Of Force,5,1,7,1
Domestic,8,0,3,0
Operation/Personnel Violations,2,0,4,0
Operation/Personnel Violations,2,0,3,0
Lockup Procedures,2,0,3,0
Verbal Abuse,5,0,8,0
Illegal Search,3,0,2,0
Illegal Search,3,0,2,0
Illegal Search,2,0,3,1
Illegal Search,1,0,0,0
Illegal Search,8,0,10,1
Operation/Personnel Violations,4,0,4,0
Operation/Personnel Violations,4,1,5,0
Use Of Force,6,0,3,0
Use Of Force,3,0,3,1
Illegal Search,3,0,4,1
Operation/Personnel Violations,2,0,3,2
Operation/Personnel Violations,0,0,0,0
Illegal Search,6,0,10,2
Use Of Force,4,0,0,0
Operation/Personnel Violations,8,0,3,0
Operation/Personnel Violations,6,0,2,0
Traffic,6,0,6,0
Use Of Force,5,0,9,0
Illegal Search,5,0,9,0
Illegal Search,5,0,9,1
Use Of Force,7,0,7,0
Operation/Personnel Violations,8,2,6,1
Use Of Force,6,0,8,0
Use Of Force,7,0,5,0
Operation/Personnel Violations,7,0,14,0
Operation/Personnel Violations,8,1,16,0
Operation/Personnel Violations,3,0,5,1
Illegal Search,5,0,2,1
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,2,0
Illegal Search,7,0,24,0
Illegal Search,7,0,11,0
Illegal Search,5,0,5,1
Illegal Search,4,0,5,0
Illegal Search,3,0,0,0
Illegal Search,2,0,0,0
Illegal Search,2,0,1,1
Bribery / Official Corruption,3,0,7,0
Operation/Personnel Violations,8,1,20,1
Use Of Force,4,0,3,1
Use Of Force,3,0,3,0
Use Of Force,1,0,0,0
Traffic,7,0,22,0
Operation/Personnel Violations,8,0,17,1
Operation/Personnel Violations,3,0,1,2
Operation/Personnel Violations,1,0,1,1
Lockup Procedures,2,1,4,0
Use Of Force,5,1,7,0
Illegal Search,6,0,5,0
Use Of Force,4,0,0,0
Operation/Personnel Violations,3,0,1,0
Operation/Personnel Violations,2,0,0,0
Illegal Search,6,0,7,0
Illegal Search,5,1,7,1
Lockup Procedures,5,0,10,0
Lockup Procedures,1,0,1,4
Use Of Force,7,6,17,2
Use Of Force,1,0,1,3
Domestic,7,2,19,0
Illegal Search,7,5,14,0
Illegal Search,6,0,2,1
Operation/Personnel Violations,3,0,4,1
Operation/Personnel Violations,2,2,3,2
Illegal Search,8,1,9,0
Use Of Force,7,0,2,0
Use Of Force,5,0,10,0
Use Of Force,3,5,14,4
Use Of Force,3,1,8,2
Operation/Personnel Violations,3,1,2,0
Operation/Personnel Violations,1,1,4,3
Operation/Personnel Violations,3,0,1,0
Lockup Procedures,6,1,5,0
Traffic,1,0,0,0
Operation/Personnel Violations,3,1,2,6
False Arrest,7,0,5,0
Use Of Force,7,0,16,0
Use Of Force,4,0,4,0
Illegal Search,6,0,2,0
Illegal Search,7,0,7,0
Lockup Procedures,5,0,7,0
Illegal Search,8,4,12,2
Illegal Search,7,3,10,0
Illegal Search,6,3,9,0
Illegal Search,7,2,5,0
Illegal Search,5,0,2,0
Illegal Search,5,3,8,0
Illegal Search,4,0,1,0
Operation/Personnel Violations,2,0,0,0
Lockup Procedures,7,5,25,0
Illegal Search,2,0,1,0
Illegal Search,1,0,1,0
Operation/Personnel Violations,7,0,7,0
Operation/Personnel Violations,6,0,3,1
Operation/Personnel Violations,6,0,11,0
Illegal Search,2,0,3,1
Operation/Personnel Violations,6,2,7,0
Operation/Personnel Violations,2,1,3,0
Traffic,2,0,1,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,3,0,0,1
Illegal Search,6,0,9,1
Use Of Force,6,0,7,0
Use Of Force,4,0,3,0
Use Of Force,2,0,0,1
Use Of Force,1,0,1,1
Operation/Personnel Violations,4,0,3,0
Operation/Personnel Violations,3,1,3,1
Operation/Personnel Violations,6,3,4,2
Operation/Personnel Violations,2,0,1,3
Use Of Force,4,0,1,0
Use Of Force,1,0,0,1
Use Of Force,7,1,11,0
Operation/Personnel Violations,8,2,6,2
Use Of Force,8,2,9,0
Use Of Force,1,0,2,1
Operation/Personnel Violations,5,1,12,1
Operation/Personnel Violations,4,2,6,3
Use Of Force,3,0,1,0
Lockup Procedures,6,1,1,0
Lockup Procedures,2,0,3,2
Lockup Procedures,1,0,0,0
Operation/Personnel Violations,4,0,0,1
Operation/Personnel Violations,1,0,0,1
Use Of Force,7,0,17,0
Use Of Force,4,1,11,1
Use Of Force,2,0,1,1
Use Of Force,1,0,0,1
False Arrest,8,0,10,0
False Arrest,8,0,17,0
False Arrest,3,1,1,0
Illegal Search,5,0,18,3
Illegal Search,5,1,8,0
Traffic,2,0,0,0
Lockup Procedures,7,0,9,0
Operation/Personnel Violations,4,3,4,2
Operation/Personnel Violations,1,2,3,1
Use Of Force,7,0,11,0
Operation/Personnel Violations,4,2,3,1
Operation/Personnel Violations,1,0,2,2
Verbal Abuse,2,0,3,0
Verbal Abuse,2,0,2,0
False Arrest,5,1,6,1
Operation/Personnel Violations,6,0,4,0
Lockup Procedures,4,0,4,0
Lockup Procedures,1,0,3,0
Operation/Personnel Violations,8,2,9,0
Illegal Search,6,0,5,0
Illegal Search,7,0,4,2
Illegal Search,6,0,1,0
Operation/Personnel Violations,2,0,2,3
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,1,0,2,0
Illegal Search,3,0,1,0
Use Of Force,3,0,6,0
Domestic,8,0,44,0
Illegal Search,1,0,1,0
Use Of Force,5,1,19,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,5,0,19,1
Operation/Personnel Violations,3,0,1,0
Illegal Search,6,2,9,1
Domestic,5,1,8,0
Operation/Personnel Violations,5,0,13,0
False Arrest,1,0,1,2
False Arrest,2,0,1,2
Operation/Personnel Violations,7,1,5,0
Operation/Personnel Violations,6,0,3,0
Operation/Personnel Violations,1,0,0,2
Operation/Personnel Violations,7,3,10,0
Use Of Force,8,2,19,2
Operation/Personnel Violations,5,0,8,0
Use Of Force,4,0,2,0
Use Of Force,4,0,3,0
Verbal Abuse,5,0,18,0
Operation/Personnel Violations,7,1,10,1
